AND,Andorra,15.543907331909661
MNE,Montenegro,14.523725364693293
CZE,Czechia,14.308848404077997
SMR,San Marino,13.937179562732041
SVN,Slovenia,10.370805779121204
LUX,Luxembourg,9.847342390123583
ISR,Israel,9.625106044786802
USA,United States,9.203010995860707
SRB,Serbia,8.826328557933492
BHR,Bahrain,8.488860079114566
PAN,Panama,8.228739065460761
PRT,Portugal,8.058699735120369
EST,Estonia,8.022681579659551
SWE,Sweden,7.969744347858805
LTU,Lithuania,7.938864728274825
BEL,Belgium,7.614169442714927
NLD,Netherlands,7.544882299390256
GEO,Georgia,7.063139621600957
ESP,Spain,7.02463531912874
LIE,Liechtenstein,7.001075071452919
CHE,Switzerland,6.945702282873721
FRA,France,6.904222589388838
LBN,Lebanon,6.862559230596347
HUN,Hungary,6.753720103308887
HRV,Croatia,6.616669118800527
SVK,Slovakia,6.615542444808205
MLT,Malta,6.5754100996740945
ARM,Armenia,6.500971573625303
GBR,United Kingdom,6.422504998232036
QAT,Qatar,6.2464509590220265
MKD,North Macedonia,6.240916203477042
POL,Poland,6.134544961166266
AUT,Austria,6.064898294546101
OWID_EUN,European Union,6.020450551163171
BRA,Brazil,5.997733555986693
JOR,Jordan,5.9940077270330505
OWID_NAM,North America,5.934532944228539
ITA,Italy,5.929193870883295
MCO,Monaco,5.830190602385079
MDA,Moldova,5.7075635051684905
KWT,Kuwait,5.434950848401019
LVA,Latvia,5.426937305760465
OWID_EUR,Europe,5.322481477732513
CYP,Cyprus,5.236220157803582
CHL,Chile,5.207821278790162
ARG,Argentina,5.1969921880090695
BIH,Bosnia and Herzegovina,5.170239711778933
ROU,Romania,4.952795248408826
BGR,Bulgaria,4.931074506598239
OWID_SAM,South America,4.909822452037141
IRL,Ireland,4.776503525054498
PSE,Palestine,4.750700589797028
COL,Colombia,4.729246479032124
PER,Peru,4.697362107053394
ARE,United Arab Emirates,4.665574698697727
OWID_KOS,Kosovo,4.6141452647852255
MDV,Maldives,4.4546029725719745
ALB,Albania,4.349051358676767
CRI,Costa Rica,4.2551854944746035
SYC,Seychelles,4.204799674598332
DNK,Denmark,3.9932129450573473
UKR,Ukraine,3.9443876754339824
TUR,Turkey,3.9331499837435953
BLR,Belarus,3.4056097787343664
DEU,Germany,3.394020178925688
VAT,Vatican,3.3374536464771323
CPV,Cape Verde,3.1421541472118104
BLZ,Belize,3.132631324804273
OMN,Oman,3.1178732242174965
RUS,Russia,3.07962492203692
URY,Uruguay,3.0384943894554755
PRY,Paraguay,3.009689408947456
CAN,Canada,2.619903255661832
ZAF,South Africa,2.6103375407549887
AZE,Azerbaijan,2.5812060645959853
GRC,Greece,2.5298626429715045
BOL,Bolivia,2.333678773521423
DOM,Dominican Republic,2.3297311628126502
BHS,Bahamas,2.3188929123606474
LBY,Libya,2.3133511960714204
LCA,Saint Lucia,2.307914327257677
IRN,Iran,2.244907379313119
TUN,Tunisia,2.1493037510815562
IRQ,Iraq,2.115542138190654
HND,Honduras,1.9086368688190385
ECU,Ecuador,1.863367239016361
ISL,Iceland,1.8183150183150185
NOR,Norway,1.7722691589860773
NAM,Namibia,1.7371294446569663
MEX,Mexico,1.7364765336236945
BWA,Botswana,1.6944878541434116
OWID_WRL,World,1.6536372583995682
KAZ,Kazakhstan,1.5842607545614895
VCT,Saint Vincent and the Grenadines,1.5755270534579573
SUR,Suriname,1.554972947357296
SWZ,Eswatini,1.494357694257019
FIN,Finland,1.3978693736082581
KGZ,Kyrgyzstan,1.3570724707477142
MAR,Morocco,1.3440517480120457
JAM,Jamaica,1.3250545985172708
GUY,Guyana,1.3030173197433377
BRB,Barbados,1.2708310859481298
ATG,Antigua and Barbuda,1.1600359447757538
SAU,Saudi Arabia,1.120263370914814
GTM,Guatemala,1.0819305914236486
MYS,Malaysia,1.0674782838459052
SGP,Singapore,1.0320933319636132
STP,Sao Tome and Principe,1.01432280378352
SLV,El Salvador,0.9979030868762778
NPL,Nepal,0.9517480432310911
IND,India,0.8856250844449308
GAB,Gabon,0.8783642924921644
DJI,Djibouti,0.8099173888311967
PHL,Philippines,0.6819498091299242
CUB,Cuba,0.6644791348095495
OWID_ASI,Asia,0.6143980693503084
TTO,Trinidad and Tobago,0.573494220398702
VEN,Venezuela,0.5644159576490922
IDN,Indonesia,0.5526806037713284
LSO,Lesotho,0.4997544639939652
GNQ,Equatorial Guinea,0.49280640919183033
ZMB,Zambia,0.48095197790943367
LKA,Sri Lanka,0.4329375503484991
COM,Comoros,0.42502544287858146
MRT,Mauritania,0.3838345169324209
JPN,Japan,0.3752801173480048
BGD,Bangladesh,0.37118057573875296
OWID_AFR,Africa,0.3145844350446285
PAK,Pakistan,0.3046420837489374
GHA,Ghana,0.291517266869941
MNG,Mongolia,0.26968311547598567
DZA,Algeria,0.26725019972729036
MMR,Myanmar,0.26178007584443347
KEN,Kenya,0.24931143565433606
ZWE,Zimbabwe,0.24814762260488799
UZB,Uzbekistan,0.24759779880002505
SEN,Senegal,0.23115839590824855
GMB,Gambia,0.22588990443023937
DMA,Dominica,0.2236390659943604
MOZ,Mozambique,0.2162151958531372
KOR,South Korea,0.20214677499346928
EGY,Egypt,0.19752008520536346
GNB,Guinea-Bissau,0.18546766815819934
ETH,Ethiopia,0.17969951406264015
CMR,Cameroon,0.17957223015984713
COG,Congo,0.17544107637205034
MWI,Malawi,0.17538462583942305
RWA,Rwanda,0.16817980624000123
CIV,Cote d'Ivoire,0.16638313157323592
GIN,Guinea,0.15159000462354083
AFG,Afghanistan,0.1450203079550706
TJK,Tajikistan,0.13953134328170422
GRD,Grenada,0.13775451257121019
TGO,Togo,0.1237990770814437
AUS,Australia,0.11498877190838656
BTN,Bhutan,0.11313976454487489
HTI,Haiti,0.11188742010218257
SYR,Syria,0.10804737216437074
CAF,Central African Republic,0.10685822330035173
NIC,Nicaragua,0.10079169103308691
ERI,Eritrea,0.09262843983536105
SSD,South Sudan,0.09080977393681766
UGA,Uganda,0.08934435189436173
OWID_OCE,Oceania,0.08883070824933867
MDG,Madagascar,0.08820910490870705
KNA,Saint Kitts and Nevis,0.0827192058956234
MUS,Mauritius,0.08083241662977574
